step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,nameOrig,nameDest,isFraud
46.0,835092.6577752039,121944.43612650399,0.0,0.0,9973633.65155296,TRANSFER,C7518304311,M2702595766,1
42.0,244270.4967671448,0.0,0.0,0.0,0.0,PAYMENT,C7669946031,M7467806056,0
157.0,46688.14463014204,32588138.130022567,26263969.353187893,448838.4853679131,0.0,PAYMENT,C13649441,M2988506590,0
465.0,1947000.367213567,1578313.8466661787,0.0,0.0,0.0,TRANSFER,C1638426761,M5821968901,1
210.0,31359.079476049934,111305.16325184431,0.0,0.0,0.0,TRANSFER,C781275155,M2051441138,1
177.0,390120.8323466708,0.0,0.0,1302322.0605487055,0.0,PAYMENT,C3048013500,M9787793156,0
164.0,131467.6488403491,0.0,0.0,0.0,0.0,DEBIT,C7997734044,M1701594502,0
396.0,32108.48825326806,14464650.61810431,0.0,0.0,0.0,DEBIT,C8454819425,M5247575019,0
355.0,304388.6825912003,903432.8886525296,0.0,0.0,0.0,PAYMENT,C5504342617,M8832662705,0
138.0,5546.478847141454,0.0,117192.73996616546,0.0,0.0,PAYMENT,C1576231562,M1630588069,0
231.0,23394.958002834916,0.0,0.0,0.0,0.0,CASH_OUT,C4018013540,M1760670987,0
13.0,92250.14815494618,173658.00384323695,0.0,0.0,0.0,PAYMENT,C291557136,M4691845620,0
402.0,2671.130941815092,0.0,38676.86641278728,0.0,0.0,PAYMENT,C4212157158,M8016154022,0
181.0,212433.2202515937,0.0,0.0,16.504720690213627,0.0,PAYMENT,C4485160760,M7048760964,0
286.0,107108.10716865107,4157051.3887562896,0.0,0.0,0.0,CASH_OUT,C9552025058,M5141532103,0
245.0,367877.92178720835,830483.969377162,0.0,0.0,0.0,CASH_OUT,C5304024978,M2310313019,1
185.0,135436.48732888454,0.0,0.0,2209381.1755273477,18657595.191545226,TRANSFER,C4878601546,M9503851037,0
404.0,13777.67246996538,0.0,0.0,0.0,0.0,PAYMENT,C6183292422,M3088767894,0
583.0,82460.23860127856,142709.47943664022,0.0,0.0,728885.9543843871,TRANSFER,C2888792344,M747467240,1
45.0,4750277.494350338,1050283.535959673,0.0,0.0,0.0,CASH_OUT,C2103449688,M3157589164,1
18.0,89086.02355430048,0.0,0.0,0.0,0.0,PAYMENT,C1563443430,M1898334842,0
354.0,18610.03058647746,0.0,31138226.54490436,0.0,0.0,PAYMENT,C6449601528,M1357149147,0
136.0,254965.46142327134,0.0,0.0,0.0,0.0,PAYMENT,C3264218782,M7855888574,0
257.0,29465.775522165037,0.0,32796351.393492963,6850561.081952706,110185.56320241149,CASH_OUT,C1547240884,M9026564995,0
280.0,18362.442993767854,0.0,0.0,0.0,0.0,PAYMENT,C2697267802,M1819168896,0
134.0,293508.7760675186,0.0,0.0,409651.4909509725,0.0,DEBIT,C7915694435,M5536981146,0
65.0,85165.98058250234,80455.46447625656,0.0,0.0,0.0,CASH_OUT,C9603617644,M837125082,1
596.0,40615.84369416678,40086.08971649012,0.0,0.0,0.0,PAYMENT,C4951555805,M6177815793,0
41.0,328687.2395384087,0.0,0.0,946919.3684915212,981290.787969278,DEBIT,C5605001077,M215345401,0
250.0,308144.01379534113,6882.975970678126,0.0,0.0,303530.6527625572,DEBIT,C8397337988,M9307509178,0
187.0,34361.44880782858,0.0,0.0,0.0,0.0,DEBIT,C6917905929,M3890610177,0
30.0,937835.5375495863,377184.2506706787,0.0,0.0,0.0,TRANSFER,C9103348536,M8830205220,1
303.0,5614.270996990388,0.0,0.0,0.0,0.0,PAYMENT,C34189773,M4669400867,0
135.0,219292.3485875067,0.0,0.0,224070.69560411156,500783.7787709968,DEBIT,C9778790293,M7426513757,0
429.0,10000000.0,9355828.342415262,0.0,0.0,1833017.5506181885,TRANSFER,C1474062826,M7152563047,1
303.0,11617.43224589071,0.0,0.0,0.0,0.0,PAYMENT,C1117413801,M4781568651,0
690.0,10000000.0,10129772.267354453,0.0,0.0,3598947.1198611823,TRANSFER,C5118148184,M2073254052,1
303.0,2990.7407214945288,1301377.3031578725,11305471.323404524,0.0,0.0,CASH_OUT,C3372697382,M6505493099,0
328.0,1603.0568066890542,24869906.480115797,25029818.547975734,0.0,0.0,DEBIT,C1494447056,M2739369811,0
234.0,112872.26470980972,25124695.93833045,323828.91311738256,0.0,0.0,CASH_OUT,C3672374253,M2664429253,0
131.0,96369.12587558688,2462667.6093761823,0.0,0.0,0.0,TRANSFER,C2305570929,M4323602125,0
164.0,11404.60846771109,8771323.279757341,3936159.8270448763,0.0,0.0,TRANSFER,C7278505631,M3449508728,0
9.0,29978.524074229823,0.0,0.0,0.0,0.0,CASH_OUT,C7823851038,M8283949648,0
185.0,2927.6954594053327,0.0,0.0,0.0,0.0,PAYMENT,C7890972349,M1357663040,0
301.0,45305.113007625136,0.0,0.0,0.0,0.0,TRANSFER,C5639169969,M9497198626,0
393.0,3493.0518494465546,0.0,0.0,0.0,0.0,CASH_OUT,C1422834026,M5587658407,0
205.0,6335.920518280699,0.0,0.0,1440973.6396207742,0.0,CASH_OUT,C7863601322,M9322853855,0
10.0,126131.91505720386,0.0,0.0,697747.3461082149,8734611.12945019,PAYMENT,C6259388332,M953335595,0
454.0,1363489.9309693407,608662.4547409859,0.0,0.0,0.0,CASH_OUT,C9495855407,M8466518808,1
426.0,43982.67537644654,0.0,0.0,0.0,0.0,DEBIT,C6708221049,M1051817231,0
201.0,1724.2102263726154,20688.500133461992,0.0,0.0,0.0,DEBIT,C6707334806,M6826081821,0
403.0,106446.70610341828,0.0,0.0,3753950.822936395,3212415.875864154,CASH_OUT,C7241755116,M7892532885,0
44.0,185896.11153326443,0.0,0.0,85882570.04912421,131655489.09756976,PAYMENT,C6474240140,M3722068916,0
348.0,313437.03160971246,92.55609898687777,0.0,0.0,0.0,DEBIT,C5331476670,M8193236136,0
329.0,1222297.6870577058,0.0,0.0,0.0,0.0,DEBIT,C4844208304,M3467998393,0
275.0,36294.08397633708,167771.1694096191,0.0,0.0,0.0,CASH_OUT,C1751085522,M7838612124,1
202.0,1452354.7688855818,0.0,0.0,163827947.8733806,30006643.195098765,TRANSFER,C266512514,M8915046620,0
228.0,106206.74655868072,0.0,0.0,0.0,0.0,PAYMENT,C958493394,M3504969740,0
260.0,48664.203591553305,0.0,0.0,827196.0866530736,0.0,DEBIT,C2502981408,M699743283,0
235.0,173575.7490528674,0.0,0.0,0.0,0.0,PAYMENT,C5159636028,M7199008657,0
262.0,296581.4632497422,145028.70602383648,0.0,227555656.4649023,233863897.66418266,TRANSFER,C2544050865,M3117290995,1
13.0,350583.412829219,124681.40138933397,0.0,0.0,0.0,CASH_OUT,C3143136337,M9378177875,1
306.0,356973.62495949864,5099785.608909452,0.0,487677.36677363206,1297004.7387524543,TRANSFER,C7889399004,M5636057358,0
233.0,2407.223921198891,22362074.964240227,2614674.8049203367,0.0,0.0,CASH_OUT,C4276324509,M557521313,0
14.0,161595.89019552135,246218.80236008577,0.0,0.0,0.0,CASH_OUT,C499050883,M2498905189,1
349.0,30668.950489180283,0.0,0.0,0.0,0.0,TRANSFER,C8311153418,M8743128498,0
17.0,221331.77178320504,0.0,0.0,0.0,149053.79540594522,PAYMENT,C154074499,M9916269167,0
153.0,404.76706354255987,11115.633808315411,0.0,0.0,0.0,CASH_OUT,C4941530604,M7274433038,0
627.0,905782.2661160838,1109065.828815984,0.0,0.0,20760838.027684834,CASH_OUT,C9215205641,M8062517356,1
15.0,44449.56748354524,23929.789855766092,7392468.412330781,0.0,0.0,DEBIT,C1762641355,M268886895,0
232.0,244725.66432620236,31646134.353971183,0.0,0.0,0.0,PAYMENT,C6293716396,M601038542,0
156.0,54961.91969833708,0.0,0.0,0.0,612272.9357687167,CASH_OUT,C9484146938,M7121193471,0
22.0,262169.6927843753,1012866.5066206388,0.0,0.0,0.0,CASH_OUT,C3224247469,M5085945864,1
618.0,10000000.0,5071575.831207401,0.0,0.0,0.0,TRANSFER,C5509784948,M4958878335,1
166.0,46284.049797995795,0.0,0.0,0.0,11132.129324876352,PAYMENT,C9345191629,M417904781,0
255.0,8352.886339069544,29600071.290905252,26351358.344495825,0.0,0.0,DEBIT,C6570974247,M831677313,0
402.0,10574.249961744174,11943730.352828775,0.0,0.0,0.0,DEBIT,C6988999248,M8600135645,0
183.0,91887.05309247864,0.0,0.0,0.0,0.0,DEBIT,C5393235319,M2055062298,0
378.0,408980.7493163092,0.0,0.0,109270149.1785062,8162020.17269229,DEBIT,C6263300685,M1340275263,0
261.0,303334.5332035165,0.0,5708446.989400956,0.0,0.0,CASH_OUT,C7324855826,M6671530195,0
278.0,154474.36597057994,127564.79988613675,334040.69058404985,0.0,0.0,DEBIT,C8602062574,M2141785099,0
233.0,14536.309499722567,0.0,0.0,108475.97292855883,45922.24590810257,PAYMENT,C3332111367,M903401992,0
253.0,151273.8727281501,0.0,0.0,0.0,0.0,CASH_OUT,C3059808480,M616579756,0
275.0,223242.82053198232,0.0,0.0,0.0,0.0,DEBIT,C9790298127,M2251074629,0
185.0,100539.49280570127,266358.3022415316,0.0,0.0,0.0,TRANSFER,C7073900192,M4203027462,1
286.0,300552.7886300346,0.0,0.0,0.0,0.0,CASH_OUT,C8682015526,M682945416,0
264.0,3299.755266812125,10192954.453454059,104323.90515306295,0.0,0.0,CASH_OUT,C656019279,M156448500,0
233.0,44341.410485608074,91107.9397182905,0.0,0.0,0.0,TRANSFER,C7401392347,M1539440981,1
134.0,22237.37305671699,6349.474930868792,0.0,0.0,0.0,DEBIT,C5902628203,M2168322571,0
285.0,179090.5012142208,0.0,0.0,26852514.410383746,13614084.947831437,DEBIT,C9223825160,M6343630745,0
495.0,119745.93268799708,0.0,0.0,707703.1448025939,10629832.22779177,PAYMENT,C9014780838,M1067186550,0
571.0,583363.9469264859,529135.2509831627,0.0,42997.97585703519,0.0,TRANSFER,C2395578574,M3989897796,1
145.0,12653.770428633528,0.0,0.0,0.0,0.0,CASH_OUT,C9611024000,M6239099773,0
680.0,1231559.3415137066,308157.16289878445,0.0,0.0,0.0,TRANSFER,C936408102,M5541839557,1
260.0,4350.994903031447,0.0,0.0,0.0,0.0,PAYMENT,C849239529,M8930897861,0
293.0,1181.2032972613574,9418.708123958228,0.0,0.0,12937519.24377072,TRANSFER,C6012779928,M8403547661,1
212.0,394701.7441541543,0.0,0.0,0.0,11941863.584030652,DEBIT,C4382831491,M6144653048,0
184.0,434019.113173881,80719.66472501443,32790595.39497232,20758663.946245324,816003.1280645179,CASH_OUT,C5853846433,M9299307354,0
212.0,2733.3411221201827,44063.63455830708,0.0,0.0,0.0,CASH_OUT,C9272593354,M2567857783,1
399.0,17562.250928439043,0.0,0.0,6969179.445181828,644154.8574551401,PAYMENT,C169809213,M3615371514,0
134.0,375402.5407190529,140186.95341145818,0.0,541771.7746201346,162304.66338069274,CASH_OUT,C7567114174,M2048515514,0
226.0,2910.31117602152,0.0,0.0,0.0,0.0,TRANSFER,C9899439837,M5501416455,0
67.0,150303.79091368875,57514.998762147814,0.0,0.0,0.0,CASH_OUT,C9959770216,M6084657912,1
566.0,32117.869269881514,318669.212402637,0.0,0.0,0.0,CASH_OUT,C7798801523,M8207765788,1
252.0,503021.83273164125,0.0,0.0,0.0,220404.46626642215,DEBIT,C6042250405,M8879198413,0
178.0,76548.921579109,357509.69312484347,0.0,59756.605124177986,3169721.5322655556,PAYMENT,C8912259335,M9295991551,0
184.0,6393.2039486223575,0.0,0.0,0.0,0.0,DEBIT,C8609424495,M3036362314,0
232.0,105629.69164059784,0.0,0.0,0.0,0.0,DEBIT,C4960162580,M7666556217,0
159.0,257877.36182109013,0.0,0.0,0.0,0.0,PAYMENT,C333824652,M8977567815,0
533.0,175566.14553801875,31113874.88237257,0.0,0.0,197227.0383599281,PAYMENT,C7040479928,M230595225,0
520.0,145313.1594112775,0.0,0.0,0.0,0.0,CASH_OUT,C6600072408,M6046033378,0
353.0,45494.15342202539,0.0,0.0,11504973.882309591,0.0,DEBIT,C2586596461,M8896053575,0
370.0,241784.65738401964,106449.8006145294,0.0,0.0,0.0,CASH_OUT,C9634566724,M8985053770,1
327.0,293070.01563157944,17721242.157596078,27703664.087020073,0.0,0.0,CASH_OUT,C7703763699,M3269840327,0
236.0,49326.43182000166,0.0,0.0,0.0,0.0,CASH_OUT,C7579074309,M1769089761,0
219.0,4030171.3280226635,345277.9175499235,0.0,0.0,0.0,TRANSFER,C8625155003,M9915106367,1
11.0,343525.7298721572,32804207.49,32769097.568526685,0.0,4288226.452264012,TRANSFER,C3105586715,M4438855784,0
138.0,13334.36649961609,0.0,0.0,0.0,0.0,PAYMENT,C6294462586,M7388369704,0
710.0,209576.69194177343,91749.52061046372,0.0,0.0,0.0,CASH_OUT,C748282825,M2027805812,1
113.0,53149.45920633682,231716.2308641118,0.0,0.0,0.0,TRANSFER,C2215506793,M2157942143,1
261.0,37155.174110734966,101193.31896383352,0.0,0.0,0.0,CASH_OUT,C2620715926,M2173909235,1
11.0,304949.23583686736,99080.50266917187,0.0,0.0,0.0,DEBIT,C7709825933,M7258339437,0
280.0,30824.356200026865,0.0,110829.52315958522,0.0,0.0,DEBIT,C9675885321,M4595112626,0
380.0,10775.535520513627,257076.74607400116,0.0,0.0,0.0,TRANSFER,C5304966246,M1603354337,0
473.0,6450.5234195486455,27223.263361970534,0.0,0.0,0.0,TRANSFER,C5640641824,M9171010678,1
258.0,896429.357788812,220259.6935878631,0.0,0.0,7708981.374134555,CASH_OUT,C387022609,M817495626,1
131.0,405070.78872017394,7021.325539255962,0.0,164410907.11797947,13027456.383536372,DEBIT,C2382532232,M471650949,0
306.0,25560.331080886157,60491.193348966575,0.0,0.0,0.0,DEBIT,C4192559388,M8314974968,0
354.0,245556.1712222817,0.0,102882.91503008685,128216.44431504843,1530595.046081923,DEBIT,C1648958653,M5540385342,0
195.0,1397768.710091862,310455.1398594641,0.0,0.0,0.0,CASH_OUT,C3609053483,M2241961709,1
170.0,1847716.2454873351,529205.0539336202,0.0,0.0,10000000.0,CASH_OUT,C8504701948,M8278474426,1
42.0,142538.50570029902,0.0,0.0,0.0,0.0,PAYMENT,C368718989,M5008504577,0
22.0,10520.026234673145,31784.828187131858,425110.5264068,0.0,0.0,DEBIT,C2706085933,M4244367880,0
403.0,15792.421014781163,0.0,185292.30828300383,0.0,0.0,CASH_OUT,C3861534916,M1893870813,0
376.0,324916.53310421406,32353176.982772913,0.0,26367.634563037882,139537729.02438074,CASH_OUT,C1691620502,M1185347037,0
22.0,10035.130897783158,0.0,172659.853933128,3745581.464710815,602837.7706594482,DEBIT,C7765888242,M4464919711,0
130.0,160602.94964754916,18484954.68597583,32850363.236854117,18578360.39239391,474850.0431612243,CASH_OUT,C4965899775,M6500068229,0
373.0,4524.34802772648,0.0,0.0,0.0,0.0,CASH_OUT,C8470206924,M7325581788,0
157.0,284706.28828077303,0.0,0.0,0.0,0.0,DEBIT,C5305565799,M5237516861,0
346.0,106720.38780671613,9638522.265120631,0.0,246673.0431527507,1384561.9116381835,PAYMENT,C3247181634,M5754038315,0
429.0,182601.49535959316,0.0,0.0,0.0,0.0,PAYMENT,C4110223136,M5518555102,0
664.0,2390686.9800829235,1159995.7451035595,0.0,0.0,0.0,TRANSFER,C8396746104,M9649467937,1
44.0,209083.62417074305,0.0,0.0,401360.06347648293,0.0,PAYMENT,C1523628715,M9231074918,0
131.0,7128817.613042759,9656862.348881042,0.0,0.0,3829062.342085049,TRANSFER,C7282622776,M8094878417,1
89.0,1265.669650505555,425.5667597612312,0.0,0.0,0.0,CASH_OUT,C735139500,M2343031738,1
333.0,8069.324604243619,0.0,0.0,0.0,0.0,TRANSFER,C1727479617,M3327950615,0
206.0,23497.20136435353,18930.449552200625,0.0,0.0,0.0,DEBIT,C2761616844,M1855753035,0
305.0,22542.447375209074,0.0,0.0,0.0,0.0,CASH_OUT,C3345311055,M3361073529,0
276.0,627187.8853103665,0.0,0.0,0.0,0.0,TRANSFER,C8438025967,M7054728090,0
141.0,204384.3396847308,0.0,0.0,166741803.87,35523262.83016266,TRANSFER,C9238339826,M3789585875,0
380.0,56884.740685209894,0.0,0.0,0.0,0.0,CASH_OUT,C8000266921,M4626536501,0
520.0,10000000.0,10000000.0,0.0,0.0,0.0,CASH_OUT,C7597881777,M476060471,1
398.0,203003.88471385886,0.0,0.0,422927.4426151947,677217.9880273502,DEBIT,C3589899837,M3079650296,0
199.0,44725.2073436659,58956.24356432639,0.0,0.0,0.0,CASH_OUT,C4129523818,M3891557070,1
301.0,13500.96274732127,0.0,0.0,0.0,0.0,PAYMENT,C4286223711,M7022762384,0
119.0,268911.61887200177,0.0,0.0,0.0,0.0,PAYMENT,C5895402772,M4154103594,0
356.0,35619.95481194967,0.0,0.0,0.0,1592956.7488107176,PAYMENT,C4140158211,M1327299226,0
21.0,1966765.401796512,1302941.180568138,0.0,0.0,0.0,CASH_OUT,C9755166880,M3055320328,1
373.0,17782.14431311329,1262713.4197104757,0.0,0.0,0.0,CASH_OUT,C9461447093,M1132577301,0
304.0,3147.4381940861795,0.0,0.0,0.0,0.0,CASH_OUT,C3751093596,M2013318000,0
58.0,239117.81511183231,343966.7402562247,0.0,0.0,0.0,TRANSFER,C1222532213,M403438222,1
687.0,172052.58953373475,0.0,0.0,6176224.493523918,35802884.95967627,CASH_OUT,C8166641645,M8392414551,0
470.0,3899.5988363225124,25642.606358269877,0.0,0.0,0.0,CASH_OUT,C3337625066,M9233583608,1
180.0,132168.4776395668,282.1805852609413,0.0,0.0,0.0,TRANSFER,C6256552327,M6559392442,0
636.0,10000000.0,4745209.400936488,0.0,17244275.57929548,4017454.4062638045,TRANSFER,C4577172985,M3902983656,1
401.0,212583.49844459616,0.0,0.0,2192255.948383021,0.0,TRANSFER,C1356816961,M2150261598,0
399.0,300936.6237449055,1297403.1061834479,0.0,0.0,1876650.2979518906,PAYMENT,C5481939517,M7821079043,0
41.0,30641.44601349567,0.0,0.0,271285.4223573689,0.0,PAYMENT,C2808889474,M2169996124,0
157.0,146324.84967094898,0.0,0.0,0.0,0.0,DEBIT,C1265799817,M9645132555,0
133.0,15325.763138647822,0.0,0.0,0.0,0.0,PAYMENT,C3012973373,M6117185568,0
522.0,9388.93525865229,0.0,205807.4194310436,798907.1412233615,0.0,DEBIT,C4555747344,M7236668350,0
276.0,334493.5043952758,0.0,0.0,0.0,847713.2794706917,DEBIT,C9196519737,M159154562,0
141.0,437646.30044822645,0.0,548876.8110237399,159380890.13736856,1485068.0501397604,PAYMENT,C696038347,M6119032907,0
256.0,32768.277109589675,0.0,0.0,7045217.873720307,2507398.980806859,DEBIT,C6944311604,M2767861636,0
13.0,10560.51324661002,759688.0630526238,28813596.551204056,1545552.5674451164,0.0,PAYMENT,C7844654731,M1497119696,0
399.0,119353.48720781124,0.0,0.0,0.0,0.0,TRANSFER,C8368080485,M5294467106,0
379.0,5540.126570290729,0.0,0.0,0.0,0.0,CASH_OUT,C839693469,M755030160,0
34.0,180000.5690328646,0.0,364255.34886662336,366261.47651537653,0.0,CASH_OUT,C9912139128,M3805354692,0
26.0,2574.7108136214856,523.6073352725033,0.0,0.0,0.0,CASH_OUT,C3542468410,M3848198768,1
196.0,153387.37771998017,0.0,0.0,0.0,0.0,DEBIT,C5139125611,M4915584195,0
280.0,292699.65453493607,0.0,0.0,579807.0129753472,551394.9047129507,CASH_OUT,C3128493459,M2505579044,0
162.0,12381.446563090396,164187.12616669032,30279044.703698773,0.0,0.0,DEBIT,C4691237326,M8057950083,0
40.0,34461.61465092922,16390.121197728527,0.0,0.0,0.0,CASH_IN,C764554892,M6578801309,0
351.0,182078.7796620455,7720892.288312543,0.0,0.0,0.0,CASH_OUT,C127189252,M9654211466,0
37.0,260702.71280848072,0.0,0.0,0.0,988267.2370266181,PAYMENT,C1914597368,M4995041145,0
625.0,485716.75024153903,148332.94834563337,0.0,0.0,0.0,CASH_OUT,C333173432,M9773829365,1
415.0,364190.3887397384,716489.7700147626,0.0,0.0,0.0,CASH_OUT,C4124842152,M1899527334,1
494.0,123356.02069371866,0.0,0.0,2446585.5932137077,7598883.786640089,CASH_OUT,C3408803329,M796432138,0
17.0,416697.362201098,0.0,0.0,19691181.20903899,15997929.743122261,TRANSFER,C1845270261,M4526969719,0
43.0,4852.667073075347,0.0,0.0,0.0,0.0,PAYMENT,C3086801587,M2973691357,0
262.0,396577.41109975945,32804207.49,32850415.74929677,4172601.5779744615,763584.3575911735,TRANSFER,C368246422,M972657536,0
678.0,37156.7399276267,161629.01977566606,0.0,0.0,0.0,CASH_OUT,C2855242149,M6944731930,1
405.0,8889.039006846608,0.0,0.0,0.0,0.0,PAYMENT,C1986519363,M1225160180,0
180.0,256698.69486985556,0.0,0.0,0.0,0.0,CASH_OUT,C679468420,M7381168452,0
224.0,13873.596068538365,103978.98788194885,0.0,0.0,0.0,PAYMENT,C6139079152,M7655774247,0
234.0,238526.15504203885,0.0,0.0,12046845.62158901,1916475.2691218418,PAYMENT,C9165958754,M5248258205,0
210.0,101926.15616755604,19931.893843664824,0.0,0.0,0.0,DEBIT,C4042525240,M6223497706,0
232.0,23016.980196512344,0.0,0.0,0.0,0.0,TRANSFER,C9990927783,M280147232,1
208.0,387430.6118491874,56323.6281251391,0.0,454063.923769894,701417.7352095335,DEBIT,C8574075097,M1250568548,0
440.0,10000000.0,6051089.1053361865,0.0,0.0,0.0,TRANSFER,C8137208043,M8950509073,1
6.0,3321.9864158897926,17107.022125595715,0.0,0.0,0.0,CASH_OUT,C9842512426,M6768462019,1
395.0,5652.855504045196,1248.9904954898848,20486690.0452037,0.0,0.0,PAYMENT,C5498844926,M6433482022,0
258.0,12901.561201772274,0.0,0.0,0.0,0.0,CASH_OUT,C5068992339,M9395171484,0
398.0,312978.15030573634,32804207.49,26849860.741205525,849208.5164825397,1735151.094320451,DEBIT,C7519261518,M9682346483,0
259.0,10445.1500814277,0.0,0.0,166618959.3367806,8553071.959336247,CASH_OUT,C5796883965,M5405520217,0
396.0,4525.9534611462905,0.0,0.0,440875.86591469275,833000.0422795181,TRANSFER,C2082240167,M4516564052,0
728.0,37584.159312741736,27331.47093523582,0.0,0.0,3134893.902218246,CASH_OUT,C6491348524,M8494919077,1
297.0,26120.180815914933,2030312.1103418595,0.0,0.0,0.0,CASH_OUT,C7230489526,M4611920061,0
133.0,95451.25395315037,0.0,0.0,0.0,338030.32322308124,PAYMENT,C4713371564,M3089163805,0
138.0,7288.403070001572,0.0,0.0,0.0,0.0,PAYMENT,C6750774991,M4136986655,0
327.0,15581.299120472026,19586397.053062927,22719846.3790837,0.0,0.0,PAYMENT,C7912242982,M925597380,0
257.0,224844.8586562187,0.0,0.0,0.0,0.0,PAYMENT,C5624991282,M8054970449,0
468.0,39353.01014783201,2748241.57896995,32841191.284325667,0.0,0.0,PAYMENT,C7442397145,M9571530468,0
