step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
648,TRANSFER,1005346.72,C278258075,1005346.72,0.0,C28830193,0.0,0.0,1,0
9,CASH_IN,225437.4,C255837350,20796.0,246233.4,C779263978,0.0,159718.41,0,0
106,CASH_OUT,8999.56,C1634056682,8999.56,0.0,C46618914,0.0,8999.56,1,0
301,CASH_OUT,66681.71,C1450325096,0.0,0.0,C959773772,674388.63,741070.35,0,0
43,CASH_IN,93606.48,C1505686783,105111.0,198717.48,C115653199,368059.29,274452.8,0,0
137,CASH_OUT,355812.24,C1109641052,0.0,0.0,C696080498,389253.46,745065.7,0,0
306,CASH_OUT,110673.28,C1114132242,9627.15,0.0,C165766906,8849843.03,8960516.31,0,0
238,CASH_IN,80190.63,C1013342009,8647866.37,8728057.0,C1684577650,604568.53,524377.89,0,0
325,PAYMENT,8003.24,C2013631271,0.0,0.0,M1394414678,0.0,0.0,0,0
130,CASH_OUT,190425.77,C1584668690,0.0,0.0,C1876108546,550689.87,741115.63,0,0
135,PAYMENT,16023.24,C638732545,258678.09,242654.85,M1106013439,0.0,0.0,0,0
161,CASH_IN,201768.7,C466027651,478825.64,680594.34,C1802679300,506863.17,305094.47,0,0
404,CASH_OUT,128765.14,C917677193,372033.19,243268.05,C1764624406,1046303.11,1175068.25,0,0
280,CASH_OUT,157394.84,C365030593,16626.21,0.0,C1795541574,572364.62,729759.46,0,0
547,CASH_OUT,594471.04,C1345990968,594471.04,0.0,C623395017,1788456.17,2382927.21,1,0
138,PAYMENT,5123.5,C1483135498,0.0,0.0,M1438165652,0.0,0.0,0,0
134,PAYMENT,1494.27,C115498306,0.0,0.0,M938698938,0.0,0.0,0,0
302,PAYMENT,3360.21,C859863250,0.0,0.0,M1546471947,0.0,0.0,0,0
406,PAYMENT,10539.3,C906908223,10613.0,73.7,M1256856421,0.0,0.0,0,0
687,CASH_OUT,464638.22,C742405305,0.0,0.0,C1168883361,834150.79,1298789.0,0,0
278,PAYMENT,50563.52,C1732851722,0.0,0.0,M413619676,0.0,0.0,0,0
18,CASH_OUT,508782.2,C576782065,0.0,0.0,C2090737806,1082007.65,1590789.85,1,0
43,TRANSFER,219963.43,C1774669590,82431.0,0.0,C1628577870,674888.45,894851.88,0,0
259,TRANSFER,827895.1,C1876842855,10174.0,0.0,C1695703206,944993.05,1772888.16,0,0
257,CASH_IN,254985.61,C886554830,8703236.04,8958221.65,C2119441360,1158770.06,903784.45,0,0
275,TRANSFER,637132.29,C681074604,13624.0,0.0,C2075822976,3815041.76,4452174.06,0,0
619,CASH_OUT,293470.64,C693010447,293470.64,0.0,C410437994,7670124.43,7963595.07,1,0
266,CASH_OUT,3486005.08,C1300574911,3486005.08,0.0,C952807483,50634.59,3536639.67,1,0
283,TRANSFER,159581.28,C1542662229,0.0,0.0,C808602263,328236.64,487817.92,0,0
157,CASH_OUT,248352.0,C558856840,0.0,0.0,C1464203180,1834258.56,2082610.57,0,0
80,CASH_OUT,972920.87,C427077444,972920.87,0.0,C1033887610,21030.1,993950.97,1,0
226,CASH_IN,357553.43,C152327860,4254879.46,4612432.9,C644621791,2716171.66,2358618.23,0,0
397,TRANSFER,913314.08,C424696326,0.0,0.0,C247153625,6881827.8,7795141.88,0,0
133,CASH_IN,281523.0,C2035117508,8181524.19,8463047.2,C663161327,1539609.72,1258086.72,0,0
7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1,0
371,CASH_OUT,151246.06,C1347614148,17457.0,0.0,C279889999,58981.85,210227.91,0,0
153,CASH_OUT,203911.81,C1740499714,0.0,0.0,C1204158415,410894.1,614805.92,0,0
225,CASH_IN,198827.15,C1643772608,17385648.73,17584475.87,C402207655,339616.04,140788.9,0,0
15,TRANSFER,59385.67,C1275373422,59385.67,0.0,C1704707395,0.0,0.0,1,0
392,CASH_OUT,2887744.35,C1770745234,2887744.35,0.0,C805918938,0.0,2887744.35,1,0
379,PAYMENT,18903.63,C461226814,234.0,0.0,M960742840,0.0,0.0,0,0
354,CASH_IN,262225.37,C132599700,456.0,262681.37,C100487350,425754.33,163528.95,0,0
185,TRANSFER,175951.24,C2128132953,0.0,0.0,C623395017,374237.75,550188.99,0,0
183,CASH_OUT,18847.78,C1065608335,6802.0,0.0,C1237775333,0.0,18847.78,0,0
283,PAYMENT,14267.05,C271188943,11195.0,0.0,M973791262,0.0,0.0,0,0
209,PAYMENT,3811.52,C1803453308,211.0,0.0,M2009889979,0.0,0.0,0,0
277,CASH_OUT,89953.77,C1382244005,51731.0,0.0,C1779857533,0.0,89953.77,0,0
181,PAYMENT,15055.08,C994417942,0.0,0.0,M1521663436,0.0,0.0,0,0
154,CASH_IN,39912.13,C1079763056,1017804.47,1057716.6,C214250662,1117636.43,1077724.3,0,0
156,CASH_OUT,230239.49,C498898060,24544.0,0.0,C1500756642,2009577.76,2239817.25,0,0
519,TRANSFER,21738.98,C811362525,21738.98,0.0,C1819509063,0.0,0.0,1,0
260,PAYMENT,3009.3,C1712723849,21061.0,18051.7,M1099709211,0.0,0.0,0,0
205,CASH_IN,185782.29,C1644762145,9852902.52,10038684.81,C1198166177,415231.38,229449.09,0,0
154,CASH_OUT,442722.01,C1825078209,442722.01,0.0,C216559212,90335.5,533057.51,1,0
346,CASH_IN,103871.01,C722647136,721.0,104592.01,C547003516,3220049.0,3116177.99,0,0
328,CASH_OUT,446592.15,C1827148410,10463.0,0.0,C1628118430,4393187.98,4839780.13,0,0
204,CASH_IN,46076.1,C2145681416,2941.0,49017.1,C1750823278,961729.2,915653.1,0,0
270,TRANSFER,134623.95,C1664606481,134623.95,0.0,C1000039615,0.0,0.0,1,0
43,PAYMENT,191.74,C1712903672,0.0,0.0,M385511427,0.0,0.0,0,0
46,CASH_OUT,585010.21,C878935318,585010.21,0.0,C2122554602,15969.08,600979.29,1,0
310,PAYMENT,14753.25,C217081551,46489.02,31735.77,M1170640420,0.0,0.0,0,0
262,TRANSFER,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0,1,0
300,PAYMENT,8992.18,C673626720,124275.38,115283.2,M1367866427,0.0,0.0,0,0
351,PAYMENT,9824.66,C692613998,20247.0,10422.34,M722926641,0.0,0.0,0,0
689,CASH_OUT,2163012.63,C1593930308,2163012.63,0.0,C1515597867,0.0,2163012.63,1,0
330,CASH_OUT,128533.41,C1677862604,0.0,0.0,C551399417,9519882.39,9648415.8,0,0
404,CASH_IN,149836.18,C17380989,11290.0,161126.18,C125552712,1297441.97,1147605.79,0,0
141,CASH_OUT,142128.24,C2044919518,20905.0,0.0,C1271089320,0.0,142128.24,0,0
12,TRANSFER,1041647.06,C345293642,1041647.06,0.0,C937194908,0.0,0.0,1,0
218,CASH_OUT,145379.14,C1005866728,145379.14,0.0,C677701060,2214587.74,2359966.88,1,0
705,TRANSFER,128454.04,C1616716689,268242.74,139788.7,C1472361938,534299.83,662753.87,0,0
327,PAYMENT,3958.67,C1426409850,840.0,0.0,M433222179,0.0,0.0,0,0
135,TRANSFER,787462.93,C1217218864,19472.0,0.0,C221257781,830180.7,1617643.63,0,0
132,PAYMENT,9170.8,C964787193,398704.0,389533.2,M1293412949,0.0,0.0,0,0
131,PAYMENT,13871.86,C710772032,0.0,0.0,M83119231,0.0,0.0,0,0
369,PAYMENT,22792.44,C584737847,0.0,0.0,M1197863872,0.0,0.0,0,0
352,CASH_IN,7991.09,C1943216188,6588548.56,6596539.65,C383786842,1825499.46,1817508.37,0,0
356,CASH_OUT,108427.76,C266565688,20762.0,0.0,C102548155,102341.06,210768.82,0,0
490,CASH_OUT,1927403.83,C630013429,1927403.83,0.0,C1658435128,0.0,1927403.83,1,0
165,CASH_OUT,82068.13,C300849103,0.0,0.0,C1440249448,90195.85,172263.98,0,0
331,PAYMENT,575.82,C39479490,303477.0,302901.18,M1286005630,0.0,0.0,0,0
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
373,CASH_IN,260915.72,C1982897898,4961944.43,5222860.15,C1519050459,300747.85,39832.13,0,0
284,PAYMENT,7321.02,C794619728,1371.0,0.0,M287771580,0.0,0.0,0,0
388,CASH_OUT,6703831.4,C76062067,6703831.4,0.0,C1968350430,99114.49,6802945.89,1,0
34,CASH_OUT,1016540.35,C1455982049,1016540.35,0.0,C1613524189,4463851.64,5700161.74,1,0
581,TRANSFER,155002.83,C1691713014,155002.83,0.0,C71357990,0.0,0.0,1,0
225,CASH_OUT,261146.06,C1987885190,229106.78,0.0,C813039530,3535140.12,3796286.18,0,0
142,CASH_IN,20028.39,C1778951300,1181404.7,1201433.09,C445698637,681435.51,661407.12,0,0
14,PAYMENT,3094.95,C1954512785,43045.0,39950.05,M1637187688,0.0,0.0,0,0
37,CASH_OUT,180967.56,C1196784232,180967.56,0.0,C165922010,95280.53,276248.1,1,0
311,TRANSFER,8589704.49,C1961162790,8589704.49,0.0,C111676219,0.0,0.0,1,0
324,CASH_OUT,105498.05,C1619688721,0.0,0.0,C550702852,5118114.84,5223612.89,0,0
15,PAYMENT,16225.54,C1124868263,2528.0,0.0,M2080896484,0.0,0.0,0,0
357,CASH_OUT,257239.68,C270594428,105150.07,0.0,C1565172234,567099.98,824339.67,0,0
538,CASH_OUT,2136099.59,C615843583,2136099.59,0.0,C634573611,466582.86,2602682.46,1,0
404,TRANSFER,10000000.0,C2023224715,12754759.04,2754759.04,C1730830963,0.0,0.0,1,0
184,CASH_OUT,95504.16,C351014542,55753.0,0.0,C215311903,616691.11,712195.27,0,0
376,CASH_OUT,106682.1,C1620006757,0.0,0.0,C959645112,5914070.6,6020752.7,0,0
375,CASH_OUT,81601.54,C12185819,293277.0,211675.46,C145878499,17677964.29,17759565.83,0,0
276,PAYMENT,31574.67,C180279129,57817.31,26242.63,M1858715255,0.0,0.0,0,0
34,PAYMENT,6310.32,C248123004,0.0,0.0,M656722405,0.0,0.0,0,0
210,PAYMENT,2118.63,C884416811,287558.01,285439.38,M2137206032,0.0,0.0,0,0
323,PAYMENT,2252.44,C1738672335,0.0,0.0,M1760399029,0.0,0.0,0,0
9,TRANSFER,1337906.92,C476084736,31941.0,0.0,C275925618,0.0,1687482.2,0,0
228,CASH_OUT,76469.01,C604903486,0.0,0.0,C615013013,1673901.4,1750370.41,0,0
18,CASH_IN,158494.67,C975729635,9048625.48,9207120.15,C509049253,1858299.29,1699804.62,0,0
564,CASH_OUT,55828.87,C1170472326,55828.87,0.0,C836514563,0.0,55828.87,1,0
280,TRANSFER,80273.47,C1175168835,0.0,0.0,C533666141,1069367.88,1149641.35,0,0
173,TRANSFER,2232667.51,C1786873519,2232667.51,0.0,C732697292,0.0,0.0,1,0
497,CASH_OUT,224570.45,C1401604030,224570.45,0.0,C1193568854,7449938.25,7674508.7,1,0
38,CASH_IN,110911.72,C1358240056,2678.0,113589.72,C333176886,296802.79,185891.07,0,0
212,PAYMENT,3545.07,C1963796757,198896.35,195351.28,M1527411282,0.0,0.0,0,0
234,PAYMENT,6367.65,C793551029,0.0,0.0,M1612873949,0.0,0.0,0,0
181,CASH_OUT,278732.6,C109090968,32149.0,0.0,C400654029,2420893.86,2699626.46,0,0
153,CASH_IN,332028.38,C1857552965,43.0,332071.38,C1057348903,1462001.5,1129973.13,0,0
20,PAYMENT,1909.08,C1726433074,178409.8,176500.73,M990223561,0.0,0.0,0,0
718,CASH_OUT,371449.7,C743630497,371449.7,0.0,C278676454,22146.7,393596.39,1,0
15,CASH_OUT,710092.27,C1725934011,0.0,0.0,C2004450760,207111.72,645292.81,0,0
583,TRANSFER,759701.03,C382272679,759701.03,0.0,C1390800148,0.0,0.0,1,0
10,PAYMENT,1228.89,C916884937,303312.0,302083.11,M2128929516,0.0,0.0,0,0
17,CASH_IN,188790.09,C2038963068,20925.0,209715.09,C860583556,0.0,0.0,0,0
17,CASH_OUT,121003.97,C1935695147,0.0,0.0,C1787329592,4153679.74,4274683.71,0,0
128,CASH_OUT,3062506.58,C1347372630,3062506.58,0.0,C1738146204,0.0,3062506.58,1,0
371,PAYMENT,19043.3,C2053935,52748.58,33705.28,M650832967,0.0,0.0,0,0
350,CASH_IN,45351.64,C1878780030,92317.0,137668.64,C1700596726,6128.42,0.0,0,0
686,CASH_OUT,1637875.33,C1616830000,1637875.33,0.0,C682431891,2042965.58,3680840.92,1,0
396,TRANSFER,1191416.61,C181280746,0.0,0.0,C1771229294,10068707.88,11260124.49,0,0
648,CASH_OUT,1086227.44,C1878954477,1086227.44,0.0,C1745741148,1017455.87,2103683.3,1,0
202,PAYMENT,6256.75,C1762988184,0.0,0.0,M678792947,0.0,0.0,0,0
608,CASH_OUT,4716307.48,C672433047,4716307.48,0.0,C1424729422,0.0,4716307.48,1,0
310,CASH_OUT,13846.15,C2033769078,644537.0,630690.85,C1497868476,0.0,13846.15,0,0
372,CASH_OUT,241160.8,C211357666,107125.0,0.0,C1515274517,0.0,241160.8,0,0
686,CASH_OUT,420065.39,C1636383013,0.0,0.0,C73635458,878094.33,1298159.72,0,0
141,TRANSFER,235003.24,C1769702433,0.0,0.0,C740183255,751083.59,986086.83,0,0
397,CASH_IN,485076.83,C329702102,616799.85,1101876.67,C1577747374,486304.37,1227.55,0,0
19,TRANSFER,707305.45,C311460991,0.0,0.0,C2134282358,2269297.86,2976603.31,0,0
308,PAYMENT,2126.83,C1157165885,9257.0,7130.17,M82066618,0.0,0.0,0,0
253,CASH_IN,89858.8,C1266372699,10366262.25,10456121.04,C1488090172,1263120.93,1173262.14,0,0
281,CASH_OUT,104264.34,C390923812,26528.16,0.0,C1350660083,2509972.86,2614237.2,0,0
41,TRANSFER,523111.11,C1112254209,0.0,0.0,C1776207726,1583965.36,2107076.47,0,0
279,PAYMENT,177.26,C1983397199,1864.0,1686.74,M389806581,0.0,0.0,0,0
373,PAYMENT,32525.83,C1677253819,116171.0,83645.17,M490164603,0.0,0.0,0,0
375,PAYMENT,21424.31,C1277960883,57818.77,36394.46,M2136785498,0.0,0.0,0,0
383,CASH_OUT,4104942.7,C2019434914,4104942.7,0.0,C1700021809,131668.24,4236610.94,1,0
407,CASH_OUT,62435.12,C714357728,0.0,0.0,C984134096,12693669.79,12756104.91,0,0
327,CASH_OUT,369761.68,C1751900456,48817.0,0.0,C1914246564,239748.29,609509.97,0,0
20,CASH_OUT,231137.31,C1077290418,0.0,0.0,C803793969,690622.65,921759.96,0,0
36,CASH_OUT,74107.56,C2091395826,0.0,0.0,C1407343213,414754.14,488861.7,0,0
301,CASH_IN,96844.93,C872969627,9231.0,106075.93,C1344691011,11282.37,0.0,0,0
138,PAYMENT,9186.71,C187561213,0.0,0.0,M14592076,0.0,0.0,0,0
15,CASH_OUT,95428.32,C947728507,0.0,0.0,C1720721903,0.0,95428.32,1,0
690,CASH_OUT,3574316.05,C438537495,3574316.05,0.0,C2102646541,260882.71,3835198.77,1,0
401,CASH_OUT,117555.46,C1888679311,0.0,0.0,C943744923,281415.3,398970.76,0,0
277,CASH_IN,7461.84,C972429885,1532245.31,1539707.15,C1598106127,104080.57,96618.73,0,0
179,CASH_OUT,194657.18,C1297812264,76444.0,0.0,C2110771942,0.0,194657.18,0,0
188,CASH_OUT,35414.19,C66852754,240806.0,205391.81,C478545649,0.0,35414.19,0,0
641,TRANSFER,19646.09,C948701373,19646.09,0.0,C1700955983,0.0,0.0,1,0
379,CASH_IN,113025.04,C2086171951,898054.15,1011079.18,C1592030215,1221272.8,1108247.77,0,0
181,CASH_IN,83210.81,C2101894339,18495804.09,18579014.9,C730554523,202719.73,119508.92,0,0
308,CASH_OUT,196586.45,C2138920304,24257.0,0.0,C1894204011,144353.48,340939.94,0,0
19,PAYMENT,23843.92,C1819537595,234157.16,210313.23,M1434852545,0.0,0.0,0,0
39,CASH_OUT,292596.46,C650470487,0.0,0.0,C323984287,5210715.48,5684988.34,0,0
420,CASH_OUT,1464160.5,C2024056212,1464160.5,0.0,C1653697681,462739.95,1926900.44,1,0
34,CASH_OUT,212688.47,C1848805581,1527.0,0.0,C915956335,0.0,97789.33,0,0
381,CASH_OUT,102256.57,C107359610,102256.57,0.0,C993674032,0.0,102256.57,1,0
572,CASH_OUT,2000718.2,C1426906570,2000718.2,0.0,C154319946,10984451.39,12985169.59,1,0
304,CASH_IN,99235.81,C97680006,6754788.99,6854024.8,C2063638993,1069071.54,969835.73,0,0
321,CASH_OUT,286112.21,C1117833251,13374.0,0.0,C975413223,3765428.2,4051540.41,0,0
303,CASH_OUT,95076.14,C1152242638,206034.17,110958.03,C1584684478,561801.48,656877.63,0,0
334,CASH_IN,421438.76,C1651999184,1523578.06,1945016.82,C1383838388,1694683.28,1273244.52,0,0
333,CASH_IN,153199.61,C1050505636,901303.26,1054502.87,C1968168505,401814.13,248614.52,0,0
187,CASH_OUT,856386.66,C1887925622,856386.66,0.0,C128909445,256445.98,1112832.65,1,0
33,CASH_OUT,362714.96,C1976016501,6523.76,0.0,C1364913072,6197402.09,6560117.04,0,0
38,CASH_OUT,308622.73,C20639217,67666.0,0.0,C1749098094,796705.49,1105328.22,0,0
306,TRANSFER,827617.24,C1673070716,0.0,0.0,C375534785,1829970.43,2657587.67,0,0
209,CASH_OUT,342903.4,C467123178,92217.0,0.0,C940500752,1675866.51,2018769.92,0,0
212,CASH_OUT,91840.2,C1062955798,13212.45,0.0,C1111989012,104171.2,196011.4,0,0
18,PAYMENT,2996.33,C2124839021,74765.29,71768.96,M226197917,0.0,0.0,0,0
155,CASH_OUT,325284.09,C1969637676,972019.0,646734.91,C610651847,1621775.31,1947059.4,0,0
160,CASH_IN,15853.36,C1853224563,5568398.35,5584251.7,C559154038,335630.81,319777.46,0,0
210,CASH_OUT,146118.79,C340714134,184111.0,37992.21,C287325246,37773.75,183892.53,0,0
311,PAYMENT,10027.03,C672620139,1103.0,0.0,M1036399647,0.0,0.0,0,0
135,CASH_IN,20105.85,C1906002650,48009.0,68114.85,C1980324872,848679.87,828574.03,0,0
225,TRANSFER,84703.87,C1821651825,84703.87,0.0,C587388242,0.0,0.0,1,0
415,TRANSFER,3242183.64,C503443667,3242183.64,0.0,C1319935848,0.0,0.0,1,0
43,CASH_IN,331374.64,C106801106,267875.44,599250.08,C1532918822,488605.57,157230.93,0,0
18,CASH_OUT,202773.63,C543728349,92212.0,0.0,C708361565,0.0,202773.63,0,0
19,CASH_OUT,95776.81,C373862821,0.0,0.0,C1651432416,6137559.01,6627228.34,0,0
34,PAYMENT,20854.71,C1740195173,2146.0,0.0,M1374192366,0.0,0.0,0,0
85,CASH_OUT,8924971.59,C1227042704,8924971.59,0.0,C585705042,59990.3,8984961.89,1,0
182,CASH_OUT,185905.83,C1922919850,0.0,0.0,C519162750,2235905.53,2421811.36,0,0
284,TRANSFER,172590.28,C1281573166,0.0,0.0,C2047672702,707107.04,879697.32,0,0
129,PAYMENT,5170.47,C1792183526,0.0,0.0,M1943967084,0.0,0.0,0,0
323,PAYMENT,17625.14,C1845626508,184507.51,166882.37,M593108124,0.0,0.0,0,0
359,TRANSFER,10000000.0,C1889901787,12056779.24,2056779.24,C1023006881,0.0,0.0,1,0
211,TRANSFER,72876.11,C1536897884,0.0,0.0,C227125819,5802487.74,5912421.02,0,0
259,PAYMENT,6468.05,C1017917993,8934.0,2465.95,M754490743,0.0,0.0,0,0
353,CASH_OUT,13774.15,C202119586,13774.15,0.0,C596898106,3269410.95,3283185.1,1,0
300,CASH_OUT,46623.24,C481685627,222201.0,175577.76,C1613197747,329365.78,375989.02,0,0
236,TRANSFER,530579.4,C996240122,0.0,0.0,C754811797,1092057.91,1762889.25,0,0
332,CASH_OUT,6744.59,C333650297,0.0,0.0,C537106514,15515.04,22259.63,0,0
229,CASH_OUT,143332.0,C159990458,143332.0,0.0,C1025108799,482652.15,716367.34,1,0
350,CASH_OUT,315590.49,C389091198,0.0,0.0,C1030309374,532280.16,847870.65,0,0
14,PAYMENT,7833.42,C1710502407,90116.0,82282.58,M937294695,0.0,0.0,0,0
